Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
660000	-2263.630587	1	0.292377	0.172231	0.621956	0.626951	0.162499	0.300340	0.256102	0.114444	0.250000	0.250000	0.250000	0.250000	1.398182	3.855251	2.684387	0.231557	3.379930	1.016997	0.701321	1.305273	1.180760	8.740402	0.392586	1.914551	7.597979	0.034211	0.498883	3.964159	
690000	-2266.653050	1	0.189162	0.184026	0.430969	0.620315	0.165576	0.350251	0.248957	0.083348	0.250000	0.250000	0.250000	0.250000	0.696640	6.837477	1.053574	0.499775	6.657950	0.088463	3.252526	4.534160	0.373925	0.790243	1.535931	3.094611	1.664603	1.662983	0.447231	8.970799	
720000	-2263.102080	1	0.208946	0.219235	0.627800	0.427528	0.173894	0.318637	0.230322	0.090796	0.250000	0.250000	0.250000	0.250000	1.793838	0.434556	0.386160	6.689981	7.531654	0.151128	0.964010	8.909437	0.483671	1.498365	1.735610	0.389526	0.602957	8.372431	0.345004	2.101202	
750000	-2262.165639	1	0.230481	0.193645	0.453174	0.671292	0.163621	0.302383	0.290610	0.089802	0.250000	0.250000	0.250000	0.250000	1.127466	3.029067	1.756481	1.337206	0.961161	1.616935	4.113312	0.196273	0.559055	6.099766	1.647272	0.737835	0.061214	7.962316	0.300437	0.309952	
780000	-2260.689412	1	0.241559	0.230966	0.595127	0.433548	0.176031	0.307526	0.234334	0.085839	0.250000	0.250000	0.250000	0.250000	0.300320	2.158971	1.911702	0.618428	0.791723	7.707289	0.730130	2.798630	1.291017	3.115680	0.531414	5.607382	4.206108	0.122180	0.165050	7.912698	
810000	-2261.109020	1	0.213515	0.208389	0.539459	0.496432	0.153356	0.307663	0.218993	0.096904	0.250000	0.250000	0.250000	0.250000	0.470013	4.174799	0.736040	0.363951	2.075163	0.335970	1.131695	3.447888	0.634157	5.030799	2.037370	0.352441	1.258656	1.485243	0.728419	5.760549	
840000	-2267.300528	1	0.205267	0.197315	0.299654	0.967940	0.221476	0.293091	0.335510	0.127731	0.250000	0.250000	0.250000	0.250000	6.468933	0.178134	0.778049	1.238780	4.900841	0.072830	1.536654	3.552859	2.414148	0.240523	1.303694	5.875187	0.516597	5.254609	2.645779	0.085447	
870000	-2262.643532	1	0.249376	0.272387	0.542256	0.421859	0.188583	0.321949	0.226350	0.078648	0.250000	0.250000	0.250000	0.250000	2.643190	0.662974	2.245381	0.367473	0.439193	7.819173	0.764444	9.450538	1.088987	1.702671	2.639516	0.504210	0.769347	1.649903	0.461723	3.891774	
900000	-2267.624440	1	0.322001	0.226518	0.467608	0.529133	0.238109	0.222520	0.190487	0.123341	0.250000	0.250000	0.250000	0.250000	0.885621	4.033927	0.624299	3.374705	4.549466	0.148885	0.784683	8.358861	3.624388	0.086259	0.497890	1.198193	0.822877	0.735686	0.712708	6.408779	
930000	-2265.011026	1	0.244224	0.189449	0.702267	0.429016	0.143276	0.292901	0.214933	0.105612	0.250000	0.250000	0.250000	0.250000	0.447371	8.595154	0.416487	8.189738	0.985024	4.861335	7.031046	0.039705	0.766345	0.491037	1.603887	0.245824	1.108590	6.202016	0.635394	9.536284	
960000	-2266.067042	1	0.278188	0.188408	0.460410	0.859320	0.212027	0.246099	0.319616	0.095519	0.250000	0.250000	0.250000	0.250000	1.928218	0.198482	0.359718	3.482450	1.299553	7.807106	5.134573	0.208750	2.994917	0.098687	0.378083	3.939005	1.302636	3.772874	0.344003	7.494405	
990000	-2265.047055	1	0.235432	0.234245	0.451123	0.566952	0.237659	0.253849	0.291098	0.094050	0.250000	0.250000	0.250000	0.250000	0.231276	5.934257	4.114570	0.118928	1.334578	9.149361	1.186627	6.945302	1.624442	2.161271	0.733743	4.861228	0.040957	6.363177	0.818176	1.080770	
1020000	-2262.567124	1	0.305281	0.213110	0.750554	0.481863	0.159121	0.284605	0.210390	0.087848	0.250000	0.250000	0.250000	0.250000	2.076441	0.519038	0.124589	4.564618	1.305930	1.515236	2.299994	0.484937	1.252918	4.074134	0.758047	2.338387	3.376228	0.038487	0.312957	5.271997	
1050000	-2265.864835	1	0.204191	0.230289	0.310930	0.575940	0.228711	0.239664	0.251701	0.094568	0.250000	0.250000	0.250000	0.250000	1.313292	7.050920	0.600169	2.404814	1.771953	2.329269	2.390187	0.139350	0.598715	3.239330	0.124681	7.228205	5.519049	0.153217	0.741640	2.247499	
1080000	-2264.307934	1	0.280304	0.176755	0.575255	0.634978	0.157317	0.349971	0.284316	0.120114	0.250000	0.250000	0.250000	0.250000	0.325795	8.275827	0.272167	9.397943	1.748345	1.011041	0.497211	8.824939	0.216055	3.539912	0.377765	7.203455	0.041679	0.783525	1.001499	1.381650	
1110000	-2261.128452	1	0.243497	0.232528	0.521208	0.471170	0.196504	0.276768	0.225923	0.076814	0.250000	0.250000	0.250000	0.250000	0.798849	0.523960	0.518364	5.739077	1.708500	1.347306	1.041326	0.954047	4.893450	0.031369	0.088178	1.941263	1.269344	0.173924	0.703448	2.572778	
1140000	-2266.254410	1	0.316234	0.163357	0.655388	0.503392	0.169765	0.321828	0.194638	0.111782	0.250000	0.250000	0.250000	0.250000	1.035059	2.004490	0.743559	3.917212	2.188093	1.001789	1.707588	0.905514	6.156257	0.039595	0.721669	1.134756	3.869972	0.106821	0.385541	1.144727	
1170000	-2261.488359	1	0.224040	0.198492	0.481601	0.587156	0.143543	0.331135	0.263819	0.124177	0.250000	0.250000	0.250000	0.250000	1.604452	6.969432	1.086657	5.435837	8.639759	0.057310	1.201041	2.302331	1.642449	0.657394	3.632279	0.085642	0.580272	4.253904	0.943080	1.291922	
1200000	-2263.360410	1	0.245813	0.222424	0.606263	0.424430	0.208427	0.323001	0.219637	0.127077	0.250000	0.250000	0.250000	0.250000	1.713858	0.694374	0.706767	7.528929	3.888018	0.535472	1.945523	1.721412	0.314331	5.270423	1.321253	2.509392	0.317598	3.942255	5.414510	0.033746	
1230000	-2262.019060	1	0.246036	0.227074	0.575243	0.443621	0.188419	0.249485	0.226386	0.083766	0.250000	0.250000	0.250000	0.250000	3.298176	0.119739	0.177621	1.336409	5.470806	0.194804	1.891260	1.284352	1.182459	0.446233	0.653957	7.567541	3.135009	0.126305	0.527287	5.497387	
1260000	-2267.877655	1	0.201602	0.192028	0.429969	0.532382	0.247003	0.319714	0.247238	0.154686	0.250000	0.250000	0.250000	0.250000	0.460275	3.168052	2.316865	0.102462	0.412319	7.054313	0.833226	1.574731	0.296420	3.704504	0.612578	1.990797	1.627460	6.035758	0.973462	0.801290	
1290000	-2263.087739	1	0.241016	0.242671	0.577428	0.533876	0.173836	0.294598	0.239625	0.124606	0.250000	0.250000	0.250000	0.250000	3.494610	0.049807	1.156070	3.765992	0.334307	9.802618	2.106937	0.155953	0.738148	3.370192	0.168517	6.009866	1.642804	1.627443	0.399815	5.839018	
1320000	-2262.123348	1	0.186596	0.205549	0.433963	0.496994	0.148428	0.306969	0.240854	0.088686	0.250000	0.250000	0.250000	0.250000	2.000827	3.542405	0.730763	7.159063	5.099519	0.113715	0.411322	6.138112	1.736655	1.330804	0.856490	5.185213	0.787321	0.352355	0.539437	3.778794	
1350000	-2262.007364	1	0.265633	0.243897	0.526608	0.529919	0.161946	0.295243	0.244859	0.106276	0.250000	0.250000	0.250000	0.250000	0.904133	1.772200	2.366606	0.122333	1.431771	2.798721	1.285540	1.050951	2.624345	0.085531	1.073041	0.300572	1.717081	0.547876	0.407093	8.395864	
1380000	-2262.592694	1	0.250362	0.206290	0.568109	0.537782	0.170866	0.286630	0.227924	0.132301	0.250000	0.250000	0.250000	0.250000	1.932160	0.119090	1.536347	1.750498	1.449683	0.388231	0.555637	0.897307	0.305538	9.905656	1.020127	1.207734	0.091712	4.249231	0.439633	6.161305	
1410000	-2262.417986	1	0.230133	0.215902	0.464598	0.447553	0.159323	0.372195	0.233241	0.105351	0.250000	0.250000	0.250000	0.250000	1.068280	1.421948	2.446006	0.117927	0.071974	3.561794	2.601612	2.192686	0.547425	3.134519	1.783684	1.103884	0.113831	6.282997	2.483177	0.031428	
1440000	-2264.847797	1	0.203074	0.221813	0.329618	0.503741	0.260549	0.286554	0.215961	0.112655	0.250000	0.250000	0.250000	0.250000	3.865128	0.327268	9.563906	0.042603	1.186922	1.476868	0.634395	3.037969	2.989106	0.054956	0.605205	8.519097	1.371848	9.090339	1.465272	0.502168	
1470000	-2265.937008	1	0.287340	0.223833	0.792171	0.421430	0.201160	0.281175	0.170341	0.080814	0.250000	0.250000	0.250000	0.250000	0.743598	2.274659	9.197162	0.023086	2.389284	2.598885	1.638723	0.427186	0.581235	0.407361	1.184406	6.466512	0.684283	9.327073	0.542590	3.999173	
1500000	-2263.007176	1	0.288975	0.203540	0.558739	0.444160	0.149992	0.247877	0.204006	0.094625	0.250000	0.250000	0.250000	0.250000	1.709023	2.050753	6.310556	0.066390	1.931648	0.653300	2.777581	0.277293	0.605343	0.251199	1.702650	0.211506	1.902803	4.119434	1.214828	1.089940	
1530000	-2260.770023	1	0.215251	0.219627	0.514288	0.499782	0.182177	0.319862	0.222391	0.094942	0.250000	0.250000	0.250000	0.250000	0.356850	1.168987	6.974316	0.040855	1.889300	1.508403	2.626269	0.157407	1.488517	0.073442	0.803186	1.302059	0.672795	3.702254	0.740977	2.574704	
1560000	-2268.911027	1	0.219308	0.202858	0.459377	0.528113	0.137033	0.407080	0.327655	0.143908	0.250000	0.250000	0.250000	0.250000	2.917043	0.151682	1.672312	0.224933	0.484187	3.027985	4.167124	0.351647	4.266277	0.036479	2.452925	0.195502	0.578238	2.939864	0.879845	1.629486	
1590000	-2263.887933	1	0.244591	0.257274	0.471123	0.627903	0.228292	0.309435	0.252050	0.129501	0.250000	0.250000	0.250000	0.250000	4.581113	0.063889	1.911401	0.208761	0.372432	2.716864	4.079974	0.254931	4.226475	0.071861	2.319320	0.142575	1.885309	1.806212	0.547231	1.085185	
1620000	-2263.278627	1	0.220206	0.188295	0.479657	0.398918	0.179903	0.299132	0.204658	0.119494	0.250000	0.250000	0.250000	0.250000	4.581113	0.063889	1.911401	0.208761	0.372432	2.716864	4.079974	0.254931	4.226475	0.071861	2.319320	0.142575	1.885309	1.806212	0.547231	1.085185	
1650000	-2261.526345	1	0.235781	0.242170	0.534983	0.525011	0.196799	0.324182	0.259522	0.114195	0.250000	0.250000	0.250000	0.250000	4.581113	0.063889	1.911401	0.208761	0.372432	2.716864	4.079974	0.254931	4.226475	0.071861	2.319320	0.142575	1.885309	1.806212	0.547231	1.085185	
1680000	-2262.175497	1	0.243276	0.244699	0.495932	0.417993	0.181778	0.290916	0.188891	0.104967	0.250000	0.250000	0.250000	0.250000	4.581113	0.063889	1.911401	0.208761	0.372432	2.716864	4.079974	0.254931	4.226475	0.071861	2.319320	0.142575	1.885309	1.806212	0.547231	1.085185	
1710000	-2261.180383	1	0.253596	0.248536	0.541553	0.518875	0.200428	0.292087	0.245931	0.088398	0.250000	0.250000	0.250000	0.250000	4.581113	0.063889	1.911401	0.208761	0.372432	2.716864	4.079974	0.254931	4.226475	0.071861	2.319320	0.142575	1.885309	1.806212	0.547231	1.085185	
1740000	-2263.136899	1	0.248869	0.220299	0.501336	0.547472	0.179356	0.254710	0.268674	0.065167	0.250000	0.250000	0.250000	0.250000	4.581113	0.063889	1.911401	0.208761	0.372432	2.716864	4.079974	0.254931	4.226475	0.071861	2.319320	0.142575	1.885309	1.806212	0.547231	1.085185	
1770000	-2266.195766	1	0.343527	0.216292	0.822471	0.451459	0.220045	0.253356	0.225802	0.085216	0.250000	0.250000	0.250000	0.250000	0.899449	1.441472	0.813804	3.520338	2.959843	0.280365	3.027993	0.326266	0.557786	0.167422	1.089786	1.108601	0.974094	3.465012	2.004821	0.525815	
1800000	-2261.332808	1	0.215512	0.221103	0.510009	0.496622	0.166161	0.338191	0.245852	0.123936	0.250000	0.250000	0.250000	0.250000	0.294932	1.630792	8.667125	0.021151	0.614615	7.682171	0.956398	2.082833	0.562075	0.557806	0.753973	2.749448	3.147240	0.161070	1.919686	1.410157	
1830000	-2262.403445	1	0.253833	0.234716	0.469564	0.555290	0.243256	0.261957	0.227532	0.111448	0.250000	0.250000	0.250000	0.250000	1.565840	1.877021	9.245236	0.041575	0.429483	9.067740	2.644124	0.551905	0.438464	1.241153	0.596030	5.542539	0.589435	2.535055	0.175889	2.936707	
1860000	-2263.924568	1	0.237638	0.176640	0.353785	0.529371	0.150065	0.288653	0.236236	0.122932	0.250000	0.250000	0.250000	0.250000	2.442695	4.573502	0.473289	8.018196	2.316327	0.910604	0.390615	0.635435	0.602073	3.684641	0.371283	7.098558	3.344310	0.289494	0.581642	7.238340	
1890000	-2263.668582	1	0.236881	0.218005	0.428512	0.679475	0.178968	0.369305	0.294579	0.118250	0.250000	0.250000	0.250000	0.250000	0.912335	9.015647	2.332077	0.245013	3.314110	0.329869	2.809679	1.312588	0.697232	3.049833	1.458469	1.718158	1.050743	2.724129	1.980158	0.151177	
1920000	-2262.450801	1	0.239919	0.242127	0.505562	0.464757	0.240939	0.307325	0.210005	0.091066	0.250000	0.250000	0.250000	0.250000	0.871601	0.757223	3.968987	0.046472	1.369777	0.903235	1.533167	0.770223	2.660777	0.251197	1.432654	6.759099	1.201045	0.381853	0.555085	2.373841	
1950000	-2262.786715	1	0.246840	0.203831	0.484890	0.677983	0.182769	0.324219	0.287518	0.091089	0.250000	0.250000	0.250000	0.250000	1.618935	0.996998	0.168311	5.164933	0.591038	3.015808	1.980636	0.476379	2.334841	0.057107	6.531463	0.097008	0.802126	0.647501	0.904635	4.997819	
1980000	-2263.467222	1	0.261288	0.196688	0.487471	0.749752	0.167663	0.304066	0.258051	0.119005	0.250000	0.250000	0.250000	0.250000	0.540968	0.355646	0.825824	1.126093	0.089954	3.248811	1.113968	1.088009	0.492648	4.423619	0.975596	5.157300	0.126583	6.083993	0.919872	0.750740	
2010000	-2264.073542	1	0.225727	0.199398	0.344729	0.518250	0.172672	0.319470	0.238856	0.099370	0.250000	0.250000	0.250000	0.250000	0.427584	6.999323	0.455518	3.930681	0.697109	8.235727	0.884395	6.576928	4.534968	0.040055	0.182454	1.744800	0.930142	0.733700	0.574953	6.253607	
2040000	-2264.383204	1	0.205128	0.226257	0.467179	0.445889	0.235728	0.295642	0.242414	0.106970	0.250000	0.250000	0.250000	0.250000	0.937622	6.025215	4.571160	0.027942	0.297437	1.037149	3.045767	0.436152	0.474447	9.013509	2.702017	0.063498	0.890542	2.717075	0.517786	5.256479	
2070000	-2265.498941	1	0.284850	0.290659	0.742296	0.433112	0.203162	0.270926	0.234925	0.076140	0.250000	0.250000	0.250000	0.250000	2.794791	0.496282	1.446953	1.441310	2.188674	9.705158	1.127114	3.518774	0.881684	2.552292	1.009741	3.473622	0.546194	1.801842	1.332368	0.475053	
2100000	-2262.236409	1	0.277017	0.189268	0.544642	0.609959	0.179699	0.307421	0.260021	0.130901	0.250000	0.250000	0.250000	0.250000	1.850209	0.429886	1.588914	4.566210	0.735944	1.995095	2.879648	0.109555	0.614566	9.960147	0.133325	9.446119	0.248950	3.298005	0.860705	6.339658	
2130000	-2268.039759	1	0.235353	0.232334	0.582686	0.539451	0.186919	0.436740	0.216387	0.163471	0.250000	0.250000	0.250000	0.250000	0.111893	4.704313	0.379850	1.631165	1.392278	0.588525	2.349513	0.676379	0.790543	4.161964	3.650750	0.456658	3.311767	0.047857	0.305842	4.136055	
2160000	-2264.518312	1	0.223646	0.216446	0.312783	0.600860	0.194255	0.264720	0.229833	0.129770	0.250000	0.250000	0.250000	0.250000	1.469316	3.326997	0.905108	6.871974	3.818409	0.328405	3.896184	0.282807	0.160857	2.966788	0.701996	3.206851	1.573267	1.508401	0.404298	4.036396	
2190000	-2264.664718	1	0.250184	0.243632	0.542534	0.500729	0.236741	0.272025	0.274584	0.085603	0.250000	0.250000	0.250000	0.250000	2.049312	4.558247	0.539858	2.978494	2.340242	0.644494	0.275607	8.486522	0.820854	8.323158	0.887080	1.525129	1.836225	1.861123	1.951501	0.120899	
2220000	-2262.817861	1	0.234926	0.213511	0.452220	0.457102	0.174573	0.319814	0.183772	0.098322	0.250000	0.250000	0.250000	0.250000	0.799904	7.349137	0.262306	3.064125	0.452756	7.530253	0.435517	6.022228	0.894244	8.468207	1.577411	0.828658	0.806901	0.942054	2.848738	0.089453	
2250000	-2262.176454	1	0.214408	0.221039	0.443988	0.456546	0.141194	0.346563	0.234648	0.120537	0.250000	0.250000	0.250000	0.250000	0.984379	4.546276	0.896087	0.874323	1.706818	1.448141	1.030639	1.036844	0.842270	3.933270	0.493192	3.809672	7.636572	0.093877	0.426572	5.260964	
2280000	-2261.626744	1	0.218756	0.225107	0.478201	0.458715	0.194095	0.259985	0.213878	0.101356	0.250000	0.250000	0.250000	0.250000	0.295459	1.553368	3.078587	0.376007	2.531826	1.353951	1.076471	1.490250	5.891808	0.084679	0.254975	2.440279	1.640712	0.183716	0.751752	1.194177	
2310000	-2261.340864	1	0.241493	0.204818	0.531850	0.520308	0.190722	0.295187	0.230362	0.081593	0.250000	0.250000	0.250000	0.250000	1.494847	1.055004	2.326515	0.183294	2.911931	0.179405	2.519735	0.331998	7.680504	0.030705	1.347057	1.777347	0.366577	5.359455	0.714231	2.123052	
2340000	-2262.309811	1	0.279654	0.249426	0.714379	0.389902	0.187398	0.334311	0.217237	0.099783	0.250000	0.250000	0.250000	0.250000	1.494847	1.055004	2.326515	0.183294	2.911931	0.179405	2.519735	0.331998	7.680504	0.030705	1.347057	1.777347	0.366577	5.359455	0.714231	2.123052	
2370000	-2264.438241	1	0.224825	0.269021	0.646855	0.525209	0.176811	0.349940	0.252902	0.111966	0.250000	0.250000	0.250000	0.250000	1.494847	1.055004	2.326515	0.183294	2.911931	0.179405	2.519735	0.331998	7.680504	0.030705	1.347057	1.777347	0.366577	5.359455	0.714231	2.123052	
2400000	-2262.032821	1	0.266446	0.189277	0.508311	0.535146	0.214123	0.291183	0.206568	0.122439	0.250000	0.250000	0.250000	0.250000	0.592673	0.292849	0.504856	1.914438	4.529966	0.062534	3.444247	0.354425	5.799612	0.038643	1.378451	1.126143	0.405183	4.099881	1.433804	0.214775	
